Employee ID,Age,Gender,Years at Company,Job Role,Monthly Income,Work-Life Balance,Job Satisfaction,Performance Rating,Number of Promotions,Overtime,Distance from Home,Education Level,Marital Status,Number of Dependents,Job Level,Company Size,Company Tenure,Remote Work,Leadership Opportunities,Innovation Opportunities,Company Reputation,Employee Recognition,Attrition
11536,58,Male,12,Technology,9798,Good,High,High,1,Yes,54,High School,Single,0,Entry,Medium,42,No,No,Yes,Good,Low,Stayed
43213,54,Male,3,Education,4940,Fair,High,Average,0,Yes,13,Master’s Degree,Married,4,Senior,Small,54,No,No,No,Good,High,Stayed
9255,32,Male,6,Education,4801,Good,High,High,0,Yes,77,Associate Degree,Divorced,3,Mid,Small,20,Yes,No,No,Poor,Medium,Stayed
52707,22,Female,14,Education,3219,Fair,Very High,Average,2,No,25,Master’s Degree,Single,5,Entry,Medium,82,No,No,No,Poor,Low,Left
11505,46,Female,38,Education,4417,Poor,Low,High,1,Yes,66,Bachelor’s Degree,Married,0,Entry,Medium,100,No,No,Yes,Excellent,Medium,Left
23456,39,Female,14,Education,5818,Good,Medium,Average,1,Yes,47,Associate Degree,Single,1,Senior,Small,78,No,No,No,Good,Very High,Stayed
61422,19,Male,11,Technology,9565,Fair,High,Average,0,No,47,Bachelor’s Degree,Divorced,3,Entry,Medium,69,No,No,No,Good,Medium,Stayed
49338,29,Male,20,Media,5657,Good,Very High,High,2,No,28,PhD,Married,4,Mid,Large,25,Yes,No,Yes,Good,Low,Stayed
18515,47,Male,20,Technology,10860,Good,Medium,Average,0,No,9,Master’s Degree,Single,3,Mid,Large,24,No,No,No,Good,Low,Left
34780,32,Female,20,Technology,10500,Good,High,High,0,Yes,11,Bachelor’s Degree,Married,1,Mid,Medium,74,Yes,No,Yes,Poor,Low,Stayed
23821,21,Female,7,Media,5342,Good,Very High,Below Average,0,No,4,Bachelor’s Degree,Married,2,Mid,Medium,72,Yes,No,No,Good,Very High,Stayed
70906,32,Male,6,Healthcare,8866,Excellent,Low,High,0,No,82,Bachelor’s Degree,Divorced,6,Senior,Medium,72,No,No,No,Poor,Medium,Stayed
64911,31,Male,3,Finance,9255,Fair,High,High,2,Yes,14,Associate Degree,Married,3,Entry,Medium,19,No,No,No,Good,Low,Stayed
69948,30,Female,12,Education,5828,Excellent,High,Average,1,Yes,45,Bachelor’s Degree,Married,1,Mid,Small,50,No,No,Yes,Excellent,Medium,Left
65272,37,Female,24,Education,4399,Fair,Very High,High,0,Yes,65,Bachelor’s Degree,Single,1,Mid,Small,70,Yes,No,Yes,Fair,Low,Left
38860,45,Female,23,Healthcare,6577,Good,Very High,Average,0,No,80,Bachelor’s Degree,Married,0,Mid,Medium,43,No,No,No,Good,Low,Left
36223,28,Female,9,Technology,9137,Poor,High,Average,1,Yes,95,High School,Single,5,Entry,Large,39,No,No,No,Poor,High,Left
41637,42,Male,27,Technology,10383,Good,Medium,High,0,No,61,Bachelor’s Degree,Single,0,Entry,Medium,96,No,No,No,Fair,Medium,Left
12054,58,Male,28,Healthcare,8336,Excellent,High,High,0,No,8,High School,Married,0,Mid,Medium,86,No,No,No,Good,Medium,Stayed
55278,39,Female,2,Education,4515,Fair,High,Low,0,No,7,Bachelor’s Degree,Single,0,Senior,Small,52,No,No,No,Poor,Very High,Left
69056,37,Male,17,Technology,7850,Good,High,Average,0,Yes,98,Associate Degree,Married,1,Senior,Large,31,No,No,No,Fair,Medium,Stayed
20921,38,Male,11,Technology,8603,Fair,High,Below Average,2,No,68,Master’s Degree,Single,1,Entry,Small,47,No,No,No,Good,Low,Left
43642,24,Male,15,Education,5701,Excellent,Very High,Average,0,No,73,Bachelor’s Degree,Single,1,Mid,Medium,85,Yes,No,No,Excellent,Low,Stayed
8601,50,Female,29,Education,4711,Poor,Very High,Average,2,No,19,Associate Degree,Single,0,Senior,Medium,67,No,No,No,Fair,Low,Stayed
1098,36,Male,24,Media,5607,Fair,Low,Below Average,0,Yes,8,Bachelor’s Degree,Single,0,Mid,Small,75,Yes,No,No,Poor,Medium,Left
61231,41,Male,31,Technology,8598,Fair,High,Below Average,2,Yes,80,Master’s Degree,Single,1,Mid,Medium,87,Yes,No,No,Fair,Medium,Left
58791,39,Female,8,Technology,7877,Fair,Medium,Average,2,No,60,Associate Degree,Married,0,Mid,Medium,34,Yes,No,No,Good,Low,Left
72579,43,Male,17,Technology,7424,Good,High,High,0,No,11,Master’s Degree,Single,5,Entry,Small,24,No,No,Yes,Good,High,Left
60779,43,Female,11,Healthcare,8525,Fair,High,Average,0,No,10,Associate Degree,Married,3,Senior,Large,39,Yes,Yes,No,Poor,Medium,Stayed
37779,44,Female,29,Technology,8433,Fair,High,Below Average,2,Yes,54,Associate Degree,Married,4,Entry,Small,60,No,No,No,Fair,Low,Left
50505,34,Female,20,Healthcare,9240,Poor,High,Average,0,Yes,61,High School,Divorced,1,Mid,Small,61,No,No,No,Fair,Low,Left
47528,53,Male,12,Technology,8573,Excellent,Medium,Average,0,No,70,Bachelor’s Degree,Married,3,Senior,Small,79,No,No,No,Poor,Low,Stayed
15881,51,Female,4,Education,3910,Good,High,Average,0,No,90,Bachelor’s Degree,Married,2,Entry,Small,68,Yes,Yes,No,Good,High,Left
7733,52,Female,34,Media,5965,Good,Medium,Below Average,0,No,73,Bachelor’s Degree,Married,1,Entry,Small,85,No,Yes,No,Fair,High,Stayed
57503,49,Male,13,Technology,9166,Poor,Low,Below Average,0,No,48,High School,Married,1,Mid,Medium,91,No,No,No,Good,Low,Left
51764,44,Male,14,Finance,6507,Good,High,Average,0,No,27,Associate Degree,Single,0,Mid,Medium,67,Yes,No,Yes,Good,Medium,Stayed
57863,31,Female,22,Technology,9308,Fair,Very High,Average,0,No,63,High School,Single,0,Entry,Medium,72,No,No,No,Fair,High,Left
34917,27,Female,6,Education,3759,Excellent,Very High,Average,0,No,82,Associate Degree,Single,1,Mid,Large,12,No,No,No,Good,Medium,Left
46286,53,Male,31,Media,5602,Good,High,Average,2,No,40,Associate Degree,Married,1,Senior,Medium,32,No,No,No,Good,Low,Stayed
36210,26,Male,17,Healthcare,8136,Fair,High,High,0,Yes,68,High School,Divorced,3,Senior,Medium,49,No,No,Yes,Good,Medium,Left
47153,41,Male,18,Education,4432,Excellent,Medium,Below Average,4,No,99,High School,Single,1,Entry,Medium,41,No,No,No,Good,High,Left
69644,19,Male,8,Healthcare,5766,Good,Very High,Below Average,0,Yes,1,Associate Degree,Married,4,Entry,Medium,19,No,No,Yes,Fair,Very High,Stayed
34450,33,Male,10,Technology,6841,Fair,High,Average,1,No,89,Associate Degree,Single,3,Entry,Medium,88,No,No,Yes,Fair,Very High,Left
70807,34,Female,25,Healthcare,7275,Good,Low,Below Average,1,No,54,High School,Married,2,Mid,Medium,52,No,No,No,Good,Low,Stayed
37155,32,Female,7,Education,3491,Good,High,Average,0,No,53,Master’s Degree,Married,4,Entry,Medium,10,No,No,No,Poor,High,Stayed
55456,49,Male,9,Education,3704,Good,High,Average,2,No,64,High School,Divorced,1,Mid,Medium,71,Yes,No,Yes,Good,High,Stayed
71435,21,Male,9,Education,4100,Fair,High,Below Average,0,No,21,High School,Divorced,0,Entry,Medium,67,No,No,No,Good,Medium,Stayed
61169,25,Male,8,Media,7022,Fair,High,Average,1,No,43,Master’s Degree,Single,3,Senior,Large,38,Yes,No,Yes,Excellent,Medium,Stayed
30250,58,Male,39,Technology,8683,Poor,High,Low,2,No,5,Bachelor’s Degree,Single,4,Mid,Small,78,Yes,No,No,Fair,Low,Stayed
29393,41,Male,2,Education,5507,Fair,Medium,Average,0,Yes,4,Master’s Degree,Married,0,Entry,Medium,50,No,No,No,Fair,Medium,Stayed
22917,53,Female,2,Technology,11508,Poor,Low,Average,0,Yes,91,Associate Degree,Married,1,Entry,Medium,6,No,No,No,Fair,Low,Left
57003,21,Male,8,Finance,7695,Good,High,Average,2,No,91,Associate Degree,Married,0,Entry,Small,16,No,No,No,Good,Low,Stayed
35132,49,Female,26,Media,5456,Poor,High,Average,0,Yes,56,Bachelor’s Degree,Married,0,Entry,Medium,58,No,No,No,Fair,Low,Left
53100,52,Female,5,Education,4864,Excellent,Low,High,0,No,78,Associate Degree,Married,0,Mid,Large,78,No,No,No,Poor,Medium,Left
52603,58,Female,28,Technology,9580,Good,High,Below Average,1,No,48,High School,Married,2,Mid,Small,92,No,No,No,Good,High,Stayed
14545,41,Female,3,Technology,9347,Fair,High,Below Average,0,No,43,Master’s Degree,Married,3,Senior,Medium,66,No,No,No,Good,Low,Left
35379,57,Female,28,Education,5912,Excellent,Medium,Average,2,No,72,Associate Degree,Married,5,Entry,Medium,73,No,No,No,Good,Medium,Left
54258,56,Male,3,Media,5520,Poor,High,Average,2,No,27,Master’s Degree,Divorced,1,Entry,Small,82,No,No,No,Poor,High,Left
7885,38,Male,4,Technology,10512,Good,Medium,Average,0,No,3,Bachelor’s Degree,Single,4,Entry,Medium,37,No,No,No,Poor,Medium,Left
3566,39,Female,23,Technology,9441,Good,High,Average,1,Yes,71,Master’s Degree,Married,0,Entry,Medium,100,No,No,Yes,Fair,Low,Left
33916,27,Male,4,Technology,5409,Good,High,High,1,No,91,Associate Degree,Married,1,Entry,Medium,34,No,No,No,Fair,Low,Left
14601,48,Male,23,Healthcare,9733,Good,Very High,Low,2,Yes,79,High School,Married,0,Mid,Small,52,No,No,Yes,Good,Medium,Left
48192,39,Male,2,Healthcare,8840,Good,High,Average,2,No,13,PhD,Married,0,Entry,Small,58,No,No,Yes,Poor,High,Stayed
12048,39,Male,23,Finance,9652,Fair,High,Below Average,0,No,62,Associate Degree,Divorced,2,Mid,Medium,70,No,No,No,Good,High,Stayed
58520,55,Male,20,Technology,10830,Fair,Medium,High,0,No,4,Bachelor’s Degree,Single,4,Mid,Small,72,No,No,No,Excellent,Medium,Stayed
71741,38,Male,23,Education,4199,Good,Very High,Average,1,No,46,Bachelor’s Degree,Divorced,4,Entry,Medium,35,No,No,No,Good,Low,Stayed
11752,53,Female,25,Media,6790,Fair,High,Below Average,2,Yes,60,Master’s Degree,Married,5,Senior,Small,79,No,No,No,Good,Medium,Stayed
48320,59,Female,37,Technology,10169,Excellent,Low,Average,2,No,34,Associate Degree,Married,2,Mid,Medium,49,No,No,No,Good,Medium,Stayed
38756,40,Female,8,Education,4303,Good,High,Average,0,No,13,High School,Married,0,Entry,Large,20,No,No,No,Good,Low,Left
22877,37,Male,27,Technology,9641,Good,High,Average,2,No,25,Bachelor’s Degree,Single,1,Mid,Small,91,No,No,No,Excellent,Low,Stayed
60417,31,Female,22,Technology,9952,Excellent,Very High,Average,0,No,79,Associate Degree,Divorced,1,Mid,Medium,42,Yes,No,No,Poor,Low,Stayed
16142,39,Female,17,Education,3506,Poor,Very High,Below Average,0,No,25,High School,Married,4,Senior,Large,22,No,Yes,No,Fair,Medium,Stayed
34042,39,Female,2,Finance,6298,Excellent,High,Average,2,No,82,Associate Degree,Single,0,Senior,Medium,71,No,No,No,Good,Low,Stayed
69861,46,Female,14,Healthcare,7596,Excellent,High,Average,0,No,51,High School,Single,0,Entry,Medium,78,No,No,No,Fair,High,Left
48647,45,Female,25,Technology,8951,Excellent,Medium,Average,0,No,80,Bachelor’s Degree,Divorced,3,Mid,Large,77,No,No,No,Poor,Low,Left
69126,31,Male,19,Media,6485,Poor,Medium,High,0,No,52,Bachelor’s Degree,Single,4,Senior,Large,35,No,No,No,Fair,High,Left
24866,57,Male,38,Media,5786,Poor,High,High,1,No,90,Associate Degree,Single,1,Senior,Large,61,No,No,No,Fair,Medium,Stayed
6206,37,Male,18,Education,5180,Good,High,Average,2,No,74,High School,Single,0,Entry,Small,42,No,No,Yes,Good,Low,Left
41601,36,Female,10,Media,5845,Good,Medium,Average,1,Yes,53,Master’s Degree,Married,4,Mid,Small,27,No,No,No,Fair,High,Left
71279,29,Male,5,Finance,6816,Good,High,Average,0,No,31,Master’s Degree,Divorced,1,Entry,Small,34,No,No,No,Good,Medium,Left
67847,36,Male,6,Media,6841,Fair,Very High,High,1,No,10,Associate Degree,Divorced,1,Mid,Medium,45,Yes,No,Yes,Excellent,Low,Left
69169,22,Female,11,Healthcare,8885,Good,Medium,Average,0,No,63,Master’s Degree,Single,2,Entry,Small,29,Yes,No,No,Good,Low,Left
47166,40,Female,2,Education,4232,Good,Very High,Below Average,2,Yes,80,High School,Married,0,Entry,Large,59,No,No,No,Good,Low,Left
37573,28,Female,20,Media,6491,Good,Very High,Average,0,No,48,Associate Degree,Married,4,Mid,Medium,54,No,No,No,Good,Low,Stayed
56267,53,Male,1,Education,5725,Fair,Very High,Low,1,No,71,Bachelor’s Degree,Married,3,Mid,Small,9,No,No,No,Excellent,Low,Left
22157,49,Female,40,Finance,6967,Fair,High,High,3,Yes,44,Bachelor’s Degree,Single,0,Entry,Medium,118,No,No,Yes,Good,Low,Stayed
55987,30,Female,13,Technology,8606,Good,Very High,High,0,No,84,Bachelor’s Degree,Divorced,3,Senior,Large,51,No,No,No,Fair,Medium,Stayed
28614,36,Male,14,Technology,10341,Good,High,Average,0,No,6,Associate Degree,Divorced,4,Senior,Medium,89,No,No,No,Fair,Medium,Stayed
18199,43,Male,18,Media,5719,Fair,Medium,Average,1,No,9,Bachelor’s Degree,Single,1,Mid,Small,51,No,No,No,Good,Low,Left
54970,26,Female,2,Technology,10200,Fair,Very High,Average,0,No,41,Master’s Degree,Married,5,Entry,Medium,39,No,No,Yes,Good,Medium,Left
27850,19,Male,2,Technology,7272,Poor,Medium,High,0,No,69,Bachelor’s Degree,Married,1,Senior,Medium,29,No,No,No,Poor,Medium,Left
32945,46,Male,11,Technology,8790,Poor,High,Below Average,2,Yes,14,High School,Married,4,Senior,Small,63,No,No,No,Good,High,Stayed
53397,18,Male,9,Healthcare,7216,Good,Very High,Below Average,1,No,2,Associate Degree,Married,0,Entry,Small,86,Yes,No,No,Good,Medium,Stayed
20183,44,Male,24,Media,6348,Excellent,High,Low,0,Yes,60,High School,Single,1,Mid,Medium,27,No,No,Yes,Good,Low,Stayed
28737,49,Male,7,Technology,10946,Fair,High,Below Average,1,Yes,51,Bachelor’s Degree,Single,1,Entry,Large,84,No,No,No,Good,High,Left
28609,59,Male,43,Technology,7516,Fair,Very High,Average,1,No,37,Associate Degree,Divorced,3,Senior,Large,53,No,Yes,No,Good,Low,Stayed
74431,53,Female,12,Media,5935,Excellent,High,High,1,Yes,51,Bachelor’s Degree,Single,0,Entry,Medium,47,No,No,No,Fair,Low,Left
17832,38,Female,7,Media,6241,Fair,High,High,0,No,25,High School,Single,4,Mid,Medium,8,No,No,No,Good,Low,Stayed
57455,20,Female,8,Education,5106,Good,Medium,Average,4,No,32,PhD,Married,0,Entry,Large,30,Yes,No,Yes,Fair,Medium,Stayed
63864,41,Female,5,Education,4643,Good,High,High,0,Yes,45,Bachelor’s Degree,Married,1,Mid,Medium,59,No,No,No,Poor,Medium,Stayed
6693,30,Male,4,Media,5331,Good,High,High,1,Yes,39,High School,Single,1,Entry,Large,36,No,No,No,Good,High,Left
6205,28,Female,9,Technology,8246,Excellent,High,High,0,Yes,63,PhD,Single,0,Entry,Small,20,No,No,No,Good,Low,Stayed
59360,20,Male,11,Education,5576,Good,High,Average,1,No,98,High School,Married,0,Senior,Small,56,No,No,No,Good,Low,Stayed
43707,21,Female,12,Media,6107,Fair,High,Low,0,Yes,21,Bachelor’s Degree,Divorced,1,Entry,Large,74,No,No,Yes,Fair,Very High,Left
17006,31,Male,7,Media,6282,Poor,High,Average,2,No,9,Associate Degree,Single,2,Mid,Medium,12,Yes,No,No,Fair,High,Stayed
34353,48,Female,32,Education,4142,Good,High,Average,1,No,21,High School,Married,2,Mid,Large,70,No,No,Yes,Good,Medium,Left
28882,18,Female,4,Healthcare,7796,Fair,Very High,Average,2,No,16,Bachelor’s Degree,Divorced,1,Entry,Small,15,No,No,No,Poor,Low,Left
17447,34,Male,2,Healthcare,9721,Fair,Very High,High,1,Yes,35,Bachelor’s Degree,Single,3,Mid,Small,78,No,No,No,Excellent,Medium,Left
26523,25,Male,13,Technology,8852,Good,Medium,Average,0,No,46,Associate Degree,Single,3,Entry,Large,46,No,No,No,Poor,Medium,Left
56140,19,Female,6,Healthcare,8980,Good,High,Average,0,No,47,Bachelor’s Degree,Single,2,Entry,Large,56,Yes,No,No,Fair,High,Stayed
23498,25,Female,7,Media,5451,Good,Low,Average,0,No,78,High School,Single,2,Entry,Medium,38,No,No,No,Poor,Low,Left
35544,27,Male,2,Technology,8943,Good,High,Average,0,Yes,1,High School,Married,0,Mid,Small,23,No,No,No,Poor,Medium,Stayed
12591,36,Male,16,Healthcare,7945,Fair,High,Below Average,0,Yes,7,Associate Degree,Single,3,Senior,Small,80,No,No,No,Fair,Low,Stayed
20143,57,Female,11,Technology,11153,Good,High,Average,0,No,51,Associate Degree,Married,1,Mid,Small,66,No,No,No,Good,Medium,Stayed
34008,39,Male,14,Education,3605,Fair,Very High,Average,2,No,2,Bachelor’s Degree,Single,1,Mid,Medium,77,No,No,No,Poor,Low,Left
32425,55,Female,19,Media,6339,Good,High,Average,0,Yes,78,Associate Degree,Married,0,Mid,Small,48,No,No,No,Excellent,High,Left
